author.nickname,video_count,total_digg_count,total_comment_count,total_play_count,total_share_count,follower_count
DexChew,29,159500000,254011,3482900000,3300200,530900
The Snob Cats,29,136300000,159123,2201100000,6855600,987600
AJAY STEVENS 🇯🇲📍,29,234900000,751100,2073500000,9755600,3200000
PuLakEsH NaTh CraCkR,29,168200000,681500,1606600000,2273600,211700
harrymckoy,29,118900000,0,1586300000,3097200,481100
DeStorm Power,29,208800000,391500,1452900000,7777800,9000000
Dr Malik,29,139200000,455300,1406500000,1049800,211600
Andri Ragettli,29,124700000,1334000,1255700000,2160500,1900000
keelydelane,29,203000000,377000,1255700000,3494500,189800
Vanessa Simeon,29,133400000,411800,1218000000,6878800,6600000
Macrofying,29,116000000,771400,1122300000,4112200,12000000
Nate Norell,29,162400000,988900,1041100000,11289700,6300000
craig,29,176900000,681500,1000500000,9010300,109400
Kelsey sound,29,121800000,218399,881600000,988900,208400
josh flowers ;)),29,176900000,1464500,858400000,11179500,201700
Adam W,29,133400000,342200,823600000,2963800,19900000
Melissa Schaub,29,191400000,1940100,727900000,3540900,118500
NDJ,29,136300000,166431,719200000,377000,16700000
rosie,29,156600000,585800,684400000,1336900,6992
nabela,29,118900000,1658800,669900000,1554400,7600000
Stuart Armour,29,104400000,536500,652500000,11481100,253800
Sallie McCrary,29,136300000,1795100,652500000,4724100,113500
margaux,29,127600000,843900,643800000,8172200,2000000
CHOCTIV,29,107300000,1096200,562600000,10280500,7100000
Luke Van Tassel,29,110200000,175160,475600000,1183200,775200
British Red Cross,29,18432400,41122,458200000,138388,446900
_stephanieg16_,29,110200000,269671,437900000,4248500,108700
Natalie Reese,29,113100000,864200,423400000,3622100,947600
We are humanitarians,29,12751300,69020,269700000,212338,3200000
